"Référence","Désignation","site dafy","site chaft","Prix H.T.","Prix T.T.C.","Réel","Réservé","Dispo","P","Cde four.","Casier","Fournisseur","Couleur","Marque","Taille","Réf Fournisseur","Code TVA","Condi.achat","Nomenclature.associée","Code barre","Remplacement","Année","Dernier achat","Dernière vente","Rayon","Sous-rayon","Catégorie","Prix achat bloqué","Prix vente bloqué","Sur internet"
"611012399901","CHAFT CLIGL ENIGMA IN1124","https://www.dafy-moto.com/clignotant-a-led-sequentiels-multi-fonctions-enigma-chaft-noir-fume.html","https://www.chaft.fr/fr/a-led-sequentiel/1144-clignotants-a-led-sequentiel-multifonction-enigma-3701177231248.html?search_query=in1124&results=1#/61-emplacement-arriere","391.67 Dh","470.00 Dh","000011","0.00","000011","","000000","","CHAFT","","CHAFT","","IN1124","020.0 %","0.00","","3701177231248","","","7/10/2021","","Moto","ACCESSOIRES","FEUX ET CLIGNOTANTS","Oui","Oui",""
"611019199901","CHAFT CLIGL ENIGMA IN1125","https://www.dafy-moto.com/clignotant-a-led-sequentiels-multi-fonctions-enigma-chaft-noir-fume.html","https://www.chaft.fr/fr/a-led-sequentiel/1144-clignotants-a-led-sequentiel-multifonction-enigma-3701177231248.html?search_query=in1124&results=1#/60-emplacement-avant","391.67 Dh","470.00 Dh","000021","0.00","000021","","000000","","CHAFT","","CHAFT","","IN1125","020.0 %","0.00","","3701177231255","","","7/10/2021","","Moto","ACCESSOIRES","FEUX ET CLIGNOTANTS","Oui","Oui",""
"110225599901","CHAFT CONNECTIQUE 3F S/","https://www.dafy-moto.com/connectiques-3-fils-suzuki-yamaha-chaft.html","https://www.chaft.fr/fr/connectiques-accessoires/1059-connectique-3-fils-suzukiyamaha-3700355958748.html?search_query=in874&results=1","83.33 Dh","100.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","IN874","020.0 %","0.00","","3700355958748","","","7/10/2021","","Moto","ACCESSOIRES ELECTRIQUES","DIVERS ACCES.ELECTRIQUES","Oui","Oui",""
"D30L","CHAFT DORSALE D30 NIVEAU 2 RICHA L","KO","https://www.chaft.fr/fr/nouveautes/1239-dorsale-d3o-niveau-2-richa.html?search_query=dorsale&results=16#/3-taille-l","408.33 Dh","490.00 Dh","000020","0.00","000020","","000000","","CHAFT","ORANGE","CHAFT","L","D30L","020.0 %","0.00","","D30L","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"D30M","CHAFT DORSALE D30 NIVEAU 2 RICHA M","KO","https://www.chaft.fr/fr/nouveautes/1239-dorsale-d3o-niveau-2-richa.html?search_query=dorsale&results=16#/2-taille-m","408.33 Dh","490.00 Dh","000050","0.00","000050","","000000","","CHAFT","ORANGE","CHAFT","M","D30M","020.0 %","0.00","","D30M","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"114127100101","CHAFT ECLAIR PLQ IN765","https://www.dafy-moto.com/eclairage-plaque-adhesif-chaft.html","https://www.chaft.fr/fr/connectiques-accessoires/1011-eclairage-de-plaque-adhesif-3700355957659.html?search_query=in765&results=1","108.33 Dh","130.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","IN765","020.0 %","0.00","","3700355957659","","","7/10/2021","","Moto","ACCESSOIRES ELECTRIQUES","FEUX ET CLIGNOTANTS","Oui","Oui",""
"IN628","CHAFT EMBOUT DE GUIDON NASH BLEU","KO","https://www.chaft.fr/fr/embout-de-guidon/456-embout-de-guidon-nash.html?search_query=in628&results=1","283.33 Dh","340.00 Dh","000010","0.00","000010","","000000","","CHAFT","BLEU","CHAFT","","IN628","020.0 %","0.00","","3700355956287","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"020281900101","CHAFT FILET CASQUE IN93","KO","https://www.chaft.fr/fr/lunettes-accessoires/460-filets-de-casque-3700355950933.html?search_query=in93&results=5","66.67 Dh","80.00 Dh","000015","0.00","000015","","000000","","CHAFT","","CHAFT","","IN93","020.0 %","0.00","","3700355950933","","","7/10/2021","","Pilote","CASQUES","DIVERS ACCESS.CASQUES-LUN","Oui","Oui",""
"IN372","CHAFT FILETS DE JANTE BLEU REFLECHISSANT AVEC APPL","KO","https://www.chaft.fr/fr/filet-de-jantes/610-filets-de-jantes-avec-applicateur.html?search_query=in372&results=1#/127-couleur-bleu_reflechissant","158.33 Dh","190.00 Dh","000004","0.00","000004","","000000","","CHAFT","BLEU","CHAFT","","IN372","020.0 %","0.00","","3700355953729","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"IN379","CHAFT FILETS DE JANTE CLASSIC DORÉ","KO","https://www.chaft.fr/fr/filet-de-jantes/610-filets-de-jantes-avec-applicateur.html?search_query=in372&results=1#/49-couleur-dore","158.33 Dh","190.00 Dh","000004","0.00","000004","","000000","","CHAFT","DORÉ","CHAFT","","IN379","020.0 %","0.00","","3700355953798","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"IN373","CHAFT FILETS DE JANTE JAUNE FLUO AVEC APPLICATEUR","KO","https://www.chaft.fr/fr/filet-de-jantes/610-filets-de-jantes-avec-applicateur.html?search_query=in372&results=1#/125-couleur-jaune_fluo","158.33 Dh","190.00 Dh","000004","0.00","000004","","000000","","CHAFT","JAUNE FLUO","CHAFT","","IN373","020.0 %","0.00","","3700355953736","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"IN374","CHAFT FILETS DE JANTE ORANGE FLUO AVEC APPLICATEUR","KO","https://www.chaft.fr/fr/filet-de-jantes/610-filets-de-jantes-avec-applicateur.html?search_query=in372&results=1#/128-couleur-orange_fluo","158.33 Dh","190.00 Dh","000004","0.00","000004","","000000","","CHAFT","ORANGE FLUO","CHAFT","","IN374","020.0 %","0.00","","3700355953743","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"IN375","CHAFT FILETS DE JANTE VERT FLUO AVEC APPLICATEUR","KO","https://www.chaft.fr/fr/filet-de-jantes/610-filets-de-jantes-avec-applicateur.html?search_query=in372&results=1#/129-couleur-vert_fluo","158.33 Dh","190.00 Dh","000004","0.00","000004","","000000","","CHAFT","VERT FLUO","CHAFT","","IN375","020.0 %","0.00","","3700355953750","","","7/10/2021","","Moto","ACCESSOIRES","ACCESSOIRES DIVERS MOTOS/AUTO","Oui","Oui",""
"091366599901","CHAFT FULL UP HONDA IN811","https://www.dafy-moto.com/adaptateur-clignotant-full-up-honda-in811-chaft-noir.html","https://www.chaft.fr/fr/connectiques-accessoires/724-full-up-honda-3700355958113.html?search_query=in811&results=1","58.33 Dh","70.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","IN811","020.0 %","0.00","","3700355958113","","","7/10/2021","","Moto","ACCESSOIRES","PIECES MEC/TECH DIVERSES","Oui","Oui",""
"091681699901","CHAFT FULL UP KAWA IN812","https://www.dafy-moto.com/adaptateur-clignotant-full-up-kawasaki-in812-chaft-noir.html","https://www.chaft.fr/fr/connectiques-accessoires/743-full-up-kawasaki-3700355958120.html?search_query=in812&results=1","58.33 Dh","70.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","IN812","020.0 %","0.00","","3700355958120","","","7/10/2021","","Moto","ACCESSOIRES","PIECES MEC/TECH DIVERSES","Oui","Oui",""
"110197499901","CHAFT KIT GRAND LED IN561","KO","https://www.chaft.fr/fr/connectiques-accessoires/453-kit-grand-avec-led-3700355955617.html?search_query=in561&results=1","308.33 Dh","370.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","IN561","020.0 %","0.00","","3700355955617","","","7/10/2021","","Moto","ACCESSOIRES ELECTRIQUES","DIVERS ACCES.ELECTRIQUES","Oui","Oui",""
"098452199901","CHAFT LEV EMB+FR V LEV04","KO","https://www.chaft.fr/fr/nouveautes/1345-levier-dembrayage-frein.html?search_query=lev04&results=1#/15-couleur-vert","575.00 Dh","690.00 Dh","000008","0.00","000008","","000000","","CHAFT","VERT","CHAFT","","LEV04","020.0 %","0.00","","3701177270049","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"027399099901","CHAFT LUN RUNNER","KO","https://www.chaft.fr/fr/lunettes-accessoires/1191-lunettes-runner-3701177222024.html?search_query=runner&results=1","166.67 Dh","200.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LU202","020.0 %","0.00","","3701177222024","","","7/10/2021","","Pilote","CASQUES","LUNETTES","Oui","Oui",""
"103142799901","CHAFT MINI U HOM HARDEN DIAM 14.5","KO","https://www.chaft.fr/fr/antivol-homologue/1156-mini-u-homologue-harden-diam-16-3700355913037.html?search_query=av303&results=1","575.00 Dh","690.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","AV303","020.0 %","0.00","","3700355913037","","","7/10/2021","","Moto","ANTIVOLS","ANTIVOLS U","Oui","Oui",""
"114248909201","CHAFT PHARE GLAM IN847","KO","https://www.chaft.fr/fr/phare/892-phare-glam.html?search_query=in847&results=1","1,158.33 Dh","1,390.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","IN847","020.0 %","0.00","","3700355958472","","","7/10/2021","","Moto","ACCESSOIRES ELECTRIQUES","FEUX ET CLIGNOTANTS","Oui","Oui",""
"050138399901","CHAFT PROT CHAUSSURESNE","https://www.dafy-moto.com/proteges-chaussure-neoprene-chaft-noir.html","https://www.chaft.fr/fr/accessoires-protection/1176-protege-chaussures-neoprene-3700355950780.html?search_query=in78&results=6","108.33 Dh","130.00 Dh","000012","0.00","000012","","000000","","CHAFT","","CHAFT","","IN78","020.0 %","0.00","","3700355950780","","","7/10/2021","","Pilote","BOTTES","DIVERS BOTTES ET ACCESS.","Oui","Oui",""
"602029099901","CHAFT PU02 COMPRESSEUR","https://www.dafy-moto.com/compresseur-sans-fil-autonome-chaft.html","https://www.chaft.fr/fr/nouveautes/1237-compresseur-sans-fil-autonome-3700355900204.html?search_query=pu02&results=1","825.00 Dh","990.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","PU02","020.0 %","0.00","","3700355900204","","","7/10/2021","","Moto","ENTRETIEN","OUTILLAGE","Oui","Oui",""
"097286299901","CHAFT RETRO TILT IN1033","https://www.dafy-moto.com/retroviseur-tilt-pas-de-8-et-10-mm-chaft-noir.html","https://www.chaft.fr/fr/non-homologue/1179-retroviseur-tilt-la-paire-3701177230333.html?search_query=in1033&results=1","391.67 Dh","470.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","IN1033","020.0 %","0.00","","3701177230333","","","7/10/2021","","Moto","ACCESSOIRES","RETROVISEURS ET ACCESS","Oui","Oui",""
"602020199901","CHAFT SANGLES IN90","KO","https://www.chaft.fr/fr/accessoires/1165-sangles-3700355950902.html?search_query=in90&results=5","183.33 Dh","220.00 Dh","000020","0.00","000020","","000000","","CHAFT","","CHAFT","","IN90","020.0 %","0.00","","3700355950902","","","7/10/2021","","Moto","ENTRETIEN","OUTILLAGE","Oui","Oui",""
"605001199901","CHAFT SCPOWER SCZ15 CHARGEUR","KO","https://www.chaft.fr/fr/outillage/1299-batterie-intelligente-scpower-1-5-a-4-5a.html?search_query=scz15&results=1","491.67 Dh","590.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","SCZ15","020.0 %","0.00","","3760250920240","","","7/10/2021","","Moto","ENTRETIEN","CHARGEUR BATTERIE","Oui","Oui",""
